userId,movieId,rating,timestamp,genres,tag
1,1,4.0,964982703,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",[]
1,3,4.0,964981247,"['Comedy', 'Romance']",[]
1,6,4.0,964982224,"['Action', 'Crime', 'Thriller']",[]
1,47,5.0,964983815,"['Mystery', 'Thriller']",[]
1,50,5.0,964982931,"['Crime', 'Mystery', 'Thriller']",[]
1,70,3.0,964982400,"['Action', 'Comedy', 'Horror', 'Thriller']",[]
1,101,5.0,964980868,"['Adventure', 'Comedy', 'Crime', 'Romance']",[]
1,110,4.0,964982176,"['Action', 'Drama', 'War']",[]
1,151,5.0,964984041,"['Action', 'Drama', 'Romance', 'War']",[]
1,163,5.0,964983650,"['Action', 'Romance', 'Western']",[]
1,216,5.0,964981208,['Comedy'],[]
1,223,3.0,964980985,['Comedy'],[]
1,235,4.0,964980908,"['Comedy', 'Drama']",[]
1,260,5.0,964981680,"['Action', 'Adventure', 'Sci-Fi']",[]
1,296,3.0,964982967,"['Comedy', 'Crime', 'Drama', 'Thriller']",[]
1,316,3.0,964982310,"['Action', 'Adventure', 'Sci-Fi']",[]
1,333,5.0,964981179,['Comedy'],[]
1,349,4.0,964982563,"['Action', 'Crime', 'Drama', 'Thriller']",[]
1,356,4.0,964980962,"['Comedy', 'Drama', 'Romance', 'War']",[]
1,362,5.0,964982588,"['Adventure', 'Children', 'Romance']",[]
1,367,4.0,964981710,"['Action', 'Comedy', 'Crime', 'Fantasy']",[]
1,423,3.0,964982363,"['Action', 'Thriller']",[]
1,441,4.0,964980868,['Comedy'],[]
1,480,4.0,964982346,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",[]
1,500,3.0,964981208,"['Comedy', 'Drama']",[]
1,527,5.0,964984002,"['Drama', 'War']",[]
1,543,4.0,964981179,"['Comedy', 'Romance', 'Thriller']",[]
1,552,4.0,964982653,"['Action', 'Adventure', 'Comedy', 'Romance']",[]
1,553,5.0,964984153,"['Action', 'Drama', 'Western']",[]
1,592,4.0,964982271,"['Action', 'Crime', 'Thriller']",[]
1,596,5.0,964982838,"['Animation', 'Children', 'Fantasy', 'Musical']",[]
1,648,3.0,964982563,"['Action', 'Adventure', 'Mystery', 'Thriller']",[]
1,661,5.0,964982838,"['Adventure', 'Animation', 'Children', 'Fantasy', 'Musical']",[]
1,733,4.0,964982400,"['Action', 'Adventure', 'Thriller']",[]
1,736,3.0,964982653,"['Action', 'Adventure', 'Romance', 'Thriller']",[]
1,919,5.0,964982475,"['Adventure', 'Children', 'Fantasy', 'Musical']",[]
1,923,5.0,964981529,"['Drama', 'Mystery']",[]
1,940,5.0,964982176,"['Action', 'Adventure', 'Romance']",[]
1,943,4.0,964983614,"['Drama', 'Fantasy', 'Romance']",[]
1,954,5.0,964983219,['Drama'],[]
1,1009,3.0,964981775,"['Adventure', 'Children', 'Fantasy']",[]
1,1025,5.0,964982791,"['Animation', 'Children', 'Fantasy', 'Musical']",[]
1,1029,5.0,964982855,"['Animation', 'Children', 'Drama', 'Musical']",[]
1,1030,3.0,964982903,"['Adventure', 'Animation', 'Children', 'Musical']",[]
1,1031,5.0,964982653,"['Adventure', 'Children', 'Musical']",[]
1,1032,5.0,964982791,"['Adventure', 'Animation', 'Children', 'Fantasy', 'Musical']",[]
